ip, state, numofp
59.66.194.9,up,5
59.66.195.1,up,5
59.66.195.2,up,2
59.66.195.3,up,2
59.66.195.4,up,2
59.66.195.5,up,2
59.66.195.6,up,2
59.66.195.7,up,2
59.66.195.8,up,2
59.66.195.9,up,2
59.66.195.10,up,2
59.66.195.11,up,2
59.66.195.15,up,2
59.66.195.42,up,3
59.66.195.52,up,13
59.66.196.1,up,5
59.66.196.2,up,2
59.66.196.3,up,2
59.66.196.4,up,2
59.66.196.5,up,2
59.66.196.6,up,2
59.66.196.7,up,2
59.66.196.8,up,2
59.66.196.9,up,2
59.66.196.10,up,2
59.66.196.11,up,2
59.66.196.15,up,2
59.66.196.17,up,2
59.66.196.18,up,4
59.66.196.26,up,7
59.66.196.80,up,5
59.66.197.1,up,5
59.66.197.2,up,2
59.66.197.3,up,2
59.66.197.4,up,2
59.66.197.5,up,2
59.66.197.6,up,2
59.66.197.18,up,2
59.66.197.28,up,7
59.66.197.43,up,6
59.66.198.1,up,5
59.66.198.2,up,2
59.66.198.3,up,2
59.66.198.4,up,2
59.66.198.5,up,2
59.66.198.6,up,2
59.66.198.7,up,2
59.66.198.8,up,2
59.66.198.9,up,2
59.66.198.10,up,2
59.66.198.11,up,2
59.66.198.14,up,2
59.66.198.22,up,6
59.66.198.24,up,9
59.66.198.31,up,3
59.66.199.1,up,5
59.66.199.2,up,2
59.66.199.3,up,2
59.66.199.4,up,2
59.66.199.5,up,2
59.66.199.6,up,2
59.66.199.7,up,2
59.66.199.8,up,2
59.66.199.16,up,12
59.66.199.17,up,6
59.66.199.18,up,2
59.66.199.20,up,10
59.66.199.25,up,8
59.66.199.26,up,5
59.66.199.28,up,9
59.66.199.30,up,9
59.66.200.1,up,5
59.66.200.2,up,2
59.66.200.3,up,2
59.66.200.4,up,2
59.66.200.5,up,2
59.66.200.6,up,2
59.66.200.7,up,2
59.66.200.8,up,2
59.66.200.9,up,2
59.66.200.10,up,2
59.66.200.11,up,2
59.66.200.22,up,2
59.66.200.23,up,2
59.66.200.28,up,2
59.66.200.31,up,13
59.66.200.34,up,2
59.66.200.35,up,3
59.66.200.41,up,2
59.66.200.42,up,4
59.66.200.44,up,2
59.66.200.48,up,2
59.66.200.53,up,4
59.66.200.62,up,2
59.66.200.76,up,1000
59.66.200.92,up,2
59.66.201.1,up,5
59.66.201.2,up,2
59.66.201.3,up,2
59.66.201.4,up,2
59.66.201.5,up,2
59.66.201.6,up,2
59.66.201.7,up,2
59.66.201.8,up,2
59.66.201.9,up,2
59.66.201.10,up,2
59.66.201.11,up,2
59.66.201.22,up,2
59.66.201.24,up,3
59.66.201.27,up,3
59.66.201.30,up,2
59.66.201.31,up,5
59.66.201.38,up,5
59.66.201.41,up,14
59.66.201.44,up,4
59.66.201.47,up,2
59.66.201.52,up,7
59.66.201.54,up,3
59.66.201.82,up,2
59.66.202.1,up,5
59.66.202.2,up,2
59.66.202.3,up,2
59.66.204.27,up,2
59.66.204.28,up,2
59.66.204.36,up,2
59.66.204.37,up,10
59.66.204.42,up,2
59.66.204.46,up,2
59.66.204.49,up,2
59.66.205.1,up,5
59.66.205.2,up,2
59.66.205.3,up,2
59.66.205.4,up,2
59.66.205.5,up,2
59.66.205.6,up,2
59.66.205.7,up,2
59.66.205.8,up,2
59.66.205.9,up,2
59.66.205.10,up,2
59.66.205.11,up,2
59.66.205.25,up,2
59.66.205.28,up,10
59.66.205.30,up,2
59.66.205.32,up,2
59.66.205.41,up,2
59.66.205.49,up,4
